geocode,state,county,city,tax_district,tax_type,tax_cat,tax_auth_id,effective,description,pass_flag,pass_type,base_type,date_flag,rounding,location,report_to,max_tax,unit_type,max_type,thresh_type,unit_and_or_tax,formula,tier,tax_rate,min_tax_base,max_tax_base,fee,min_unit_base,max_unit_base
,AR,DREW,WILMAR,,04,,27631,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
US0602909780,CA,KERN,CALIFORNIA CITY,,04,,27632,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,CA,SAN DIEGO,LEMON GROVE,,04,,27633,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,CA,SAN MATEO,COLMA,,04,,27634,,CITY SALES TAX,,,,,,,,,,,,,,,0.5,,,,,
,IA,MADISON,EARLHAM,,04,,27641,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,BUREAU,ARLINGTON,,04,,27642,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,BUREAU,BUREAU JUNCTION,,04,,27643,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,BUREAU,DE PUE,,04,,27644,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,BUREAU,DOVER,,04,,27645,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,BUREAU,LADD,,04,,27646,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,BUREAU,WYANET,,04,,27647,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,COOK,BLUE ISLAND,,04,,27648,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,COOK,KENILWORTH,,04,,27649,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,DE WITT,FARMER CITY,,04,,27650,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,DOUGLAS,NEWMAN,,04,,27651,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,KANKAKEE,ST. ANNE,,04,,27652,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,KNOX,KNOXVILLE,,04,,27653,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,KNOX,WILLIAMSFIELD,,04,,27654,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
,IL,LASALLE,TONICA,,04,,27655,,CITY SALES TAX,,,,,,,,,,,,,,,1,,,,,
