geocode,state,county,city,description,tax_type,tax_cat,old_rate,new_rate,old_fee,new_fee
,AK,HOONAH-ANGOON,PELICAN,,04,01,4,6,0,0.25
,AR,CHICOT,DERMOTT,,04,01,2,4,0,0
,AR,COLUMBIA,MAGNOLIA,,04,01,2.375,2.25,0,0
,AR,OUACHITA,STEPHENS,,04,01,1,3,0,0.50
,AZ,COCONINO,FLAGSTAFF,,04,01,2.281,2.486,0,0
,AZ,MARICOPA,PHOENIX,,04,01,2.3,2.8,0,0
,AZ,MARICOPA,SCOTTSDALE,,04,01,1.75,1.7,0,0
,GA,CLINCH,,,02,01,4,3,0,0
,GA,STEWART,,,02,01,3,4,0,0
,GA,TELFAIR,,,02,01,3,4,1.00,1.25
,GA,THOMAS,,,02,01,3,4,0,0
,GA,WASHINGTON,,,02,01,4,5,0,0
,IL,BUREAU,SPRING VALLEY,,04,01,0.5,1,0,0
,IL,COLES,CHARLESTON,,04,01,0.5,1,0,0
,IL,COOK,BARTLETT,,04,01,1,1.75,0,0.75
,IL,DUPAGE,ADDISON,,04,01,1.5,1.75,0,0
,IL,DUPAGE,BARTLETT,,04,01,1,1.75,0,0.75
,IL,DUPAGE,WESTMONT,,04,01,0.5,1,0,0
,IL,HENRY,COLONA,,04,01,0.5,0.75,0,0
,IL,KANE,BARTLETT,,04,01,1,1.75,0,0.75
,IL,KANE,SLEEPY HOLLOW,,04,01,0.5,1,0.25,0.50
,IL,KANE,SOUTH ELGIN,,04,01,0.5,1,0,0
,IL,LAKE,HIGHWOOD,,04,01,1.75,2,2.00,2.50
,IL,MADISON,GLEN CARBON,,04,01,0.25,1,0,0
,IL,MCHENRY,SPRING GROVE,,04,01,1,1.75,0,0
,IL,MCLEAN,LE ROY,,04,01,0.5,1,0,0
,IL,SANGAMON,SHERMAN,,04,01,0.5,1.5,0,0
,IL,WHITESIDE,,,02,01,1,1.5,0,0
,IL,KANE,EAST DUNDEE,VILLAGE EAST DUNDEE ROUTE 17/ROUTE 25 BUSINESS DISTRICT,05,01,0.75,1,0,0
,KS,DICKINSON,ABILENE,,04,01,0.75,1.1,0,0
,KS,OSAGE,LYNDON,,04,01,1.5,1,0,0
,KS,JOHNSON,OVERLAND PARK,OVERLAND PARK TDD OAK PARK,05,01,0.5,0,0,0
,LA,ALLEN,ELIZABETH,,02,01,5,6,0,0
US22045A0007,LA,IBERIA,NEW IBERIA,,02,01,5.25,5.5,0,0
,LA,JACKSON,EROS,,02,01,4,5,0,0
,LA,PLAQUEMINES,,,02,01,4.5,4.75,0,0
US22045A0012,LA,IBERIA,NEW IBERIA,,02,01,6,6.25,0,0
US22045A0013,LA,IBERIA,NEW IBERIA,,02,01,6,6.25,0,0
US22045A0014,LA,IBERIA,NEW IBERIA,,02,01,5.75,6,0,0
,MN,SAINT LOUIS,PROCTOR,,04,01,1,1.5,0,0
,MO,BARRY,SELIGMAN,,04,01,2.25,3.25,0,0
,MO,GASCONADE,BLAND,,04,01,2.5,3.5,0,0
,MO,JEFFERSON,PEVELY,,04,01,2.5,3.5,0,0
,MO,SAINT LOUIS,ELLISVILLE,CID - FOUNTAIN PLAZA CID,05,01,1,0,0,0
,ND,CAVALIER,LANGDON,,04,01,2,3,0,0
,ND,ROLETTE,DUNSEITH,,04,01,1,2,0,0
,NE,SALINE,WILBER,,04,01,1.5,1,0,0
,NM,CHAVES,ROSWELL,,04,01,1.625,2,0,0
,NM,COLFAX,MAXWELL,,04,01,0.75,1.25,0,0
,NM,CURRY,TEXICO,,04,01,1.4375,2.05,0,0
,NM,DONA ANA,LAS CRUCES,,04,01,1.5675,1.8925,0,0
,NM,ROOSEVELT,ELIDA,,04,01,1.375,1.875,0,0
,NM,ROOSEVELT,PORTALES,,04,01,1.5625,2.175,0,0
,NM,RIO ARRIBA,ESPANOLA,SANTA CLARA GRANT INDIAN RESERVATION,05,01,1.9375,3.9375,0,0
,NM,SANTA FE,ESPANOLA,SANTA CLARA GRANT INDIAN RESERVATION,05,01,1.9375,3.9375,0,0
,NM,RIO ARRIBA,UNINCORPORATED COUNTY AREA,SANTA CLARA PUEBLO IN. RESERV.,05,01,2,4,0,0
,NM,SANTA FE,UNINCORPORATED COUNTY AREA,SANTA CLARA PUEBLO IN. RESERV.,05,01,2,4,0,0
,OH,LAKE,,,02,01,1.25,1.5,0,0
,OK,CANADIAN,UNION CITY,,04,01,4,4.5,0,0
,OK,DELAWARE,JAY,,04,01,3,4,0,0
,OK,MCCLAIN,WASHINGTON,,04,01,4,5,0,0
,OK,OKLAHOMA,CHOCTAW,,04,01,4.25,5.25,0,0
,OK,ROGERS,CLAREMORE,,04,01,3,4,0,0
,OK,TILLMAN,FREDERICK,,04,01,3.5,2.5,0,0
,OK,LE FLORE,,,02,01,2,2.3,0,0
,OK,WAGONER,,,02,01,1.3,1.55,0,0
,SC,CLARENDON,,SPECIAL LOCAL - SCHOOL DISTRICT,03,01,1,0,0,0
,TX,KAUFMAN,FORNEY,,04,01,2,1.75,0,0
,TX,UPTON,RANKIN,,04,01,1.5,2,0,0
,UT,RICH,,,02,01,1.5,1.8,0,0
,UT,SALT LAKE,,,02,01,2.4,2.6,0,0
,UT,SUMMIT,,,02,01,2.3,2.8,0,0
,UT,WAYNE,,,02,01,1.5,2.8,0,0
,WA,SAN JUAN,FRIDAY HARBOR,,02,01,2.3,2.15,0,0
,WA,SKAMANIA,STEVENSON,,02,01,1.2,1.5,0,0
,WA,SAN JUAN,UNINCORPORATED COUNTY AREA,COUNTY SALES TAX,02,01,2,1.85,0,0
