geocode,tax_type,tax_cat,tax_auth_id,effective,description,pass_flag,pass_type,base_type,date_flag,rounding,location,report_to,max_tax,unit_type,max_type,thresh_type,unit_and_or_tax,formula,tier,tax_rate,min_tax_base,max_tax_base,fee,min_unit_base,max_unit_base
US0800000000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0017,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0019,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0020,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0021,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0022,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0023,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0024,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0025,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0026,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0027,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0028,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0029,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0030,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0031,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08001A0032,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08003A0001,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08003A0002,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08003A0003,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0014,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0016,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0017,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0018,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0019,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0020,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0021,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0022,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0023,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0024,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0025,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0026,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0027,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0028,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0029,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0030,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0031,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0032,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08005A0033,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800700000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800756860,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800900000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800911645,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800961315,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800973330,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800979270,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800981030,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0800982460,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801100000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801143660,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0022,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0023,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0024,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0025,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0026,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0027,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0028,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0029,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0030,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0031,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0032,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08013A0033,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08014A0009,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08014A0010,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08014A0011,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08014A0012,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801500000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801510105,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801560600,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801567280,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801700000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801714175,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801741010,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801900000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801912900,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801924620,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
