"geocode","tax_auth_id","group","item","customer","provider","transaction","taxable","tax_type","tax_cat","effective","per_taxable_type","percent_taxable"
"US3900000000","","7777","000","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","000","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","000","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","000","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","000","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","000","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","001","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","001","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","001","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","001","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","001","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","001","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","002","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","002","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","002","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","002","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","002","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","002","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","003","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","003","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","003","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","003","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","003","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","003","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","004","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","004","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","004","0B","99","01","1","05","01","1990-01-01","01","1.000000"
